# DISTANCE:     AVE_GOFR:        ERROR:
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 3.89046e-05 1.92568e-05
    0.910562  0.00112797  0.00015776
    0.936212   0.0249078  0.00100003
    0.961861    0.171458    0.002134
    0.987511    0.585309  0.00159944
     1.01316      1.2335  0.00541462
     1.03881     1.87924  0.00858327
     1.06446      2.3671   0.0132327
     1.09011     2.55497   0.0143805
     1.11576     2.52793  0.00709685
     1.14141     2.38316  0.00451823
     1.16706      2.1778  0.00517528
     1.19271     1.95775  0.00863052
     1.21836      1.7399  0.00507419
     1.24401     1.55104  0.00597987
     1.26966      1.3856   0.0081625
     1.29531     1.24105  0.00912025
     1.32096     1.11697  0.00983323
     1.34661     1.02278  0.00743118
     1.37226    0.940137  0.00612051
     1.39791    0.874764  0.00436515
     1.42355    0.821695   0.0038722
      1.4492    0.777113  0.00357758
     1.47485    0.741015  0.00496341
      1.5005     0.71031  0.00505024
     1.52615    0.693714  0.00411984
      1.5518    0.670032  0.00497385
     1.57745    0.672505  0.00806463
      1.6031    0.672716  0.00487315
     1.62875    0.675203  0.00393288
      1.6544    0.682629  0.00495392
     1.68005    0.710151  0.00466578
